"Alpha3Code","Country","Alpha2Code","NumCode","Country Name","Region","Image URL","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"ABW","Aruba","AW","533","Aruba","Americas","https://public.flourish.studio/country-flags/svg/aw.svg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.40546341711746,0.487602457746416,0.596423607114715,0.695304363031101,0.764887117194486,0.872138715083799,0.958463184357542,1.08297972067039,1.24568826815642,1.3204748603352,1.37996089385475,1.53194413407821,1.66510055865922,1.72279888268156,1.87345251396648,1.92011173184358,1.94134078212291,2.02122905027933,2.22849162011173,2.33072625698324,2.42458100558659,2.61508379888268,2.74525139664804,2.49888268156425,2.39050279329609,2.54972067039106,2.53463687150838,2.72784972067039,2.79084916201117,2.96290502793296,2.98363687150838,3.09243016759777,3.20218860692893,NA,NA
"AFG","Afghanistan","AF","004","Afghanistan","Asia","https://public.flourish.studio/country-flags/svg/af.svg",0.537777811111111,0.548888895555556,0.546666677777778,0.751111191111111,0.800000044444444,1.00666663777778,1.39999996666667,1.67333341777778,1.37333336666667,1.40888892222222,1.74888659555556,1.83110897111111,1.59555547555556,1.73333326444444,2.15555549777778,2.36666661555556,2.55555556666667,2.95333341777778,3.30000010888889,3.69794040961098,3.64172332199546,3.47878790909091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.05517956634981,4.51555880810994,5.22677880889209,6.20913762477181,6.97128559468013,9.74787953186311,10.109305182952,12.4161610488412,15.856678596148,17.8051131188938,19.9073170656666,20.146404996223,20.4971267701335,19.134211763859,18.1165624649088,18.7534696302586,18.0532285788878,18.7994507427823,20.1161373258206
"AGO","Angola","AO","024","Angola","Africa","https://public.flourish.studio/country-flags/svg/ao.svg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.93407360354849,5.55382446382274,5.55382446382274,5.78782380869565,6.1351662542408,7.55861300790635,7.07679382260201,8.08927928472241,8.77511626916722,10.2079225171839,11.2362758427358,NA,NA,NA,3.3905,5.56122222222222,7.52696396396396,7.64971615720524,6.50661914460285,6.15293653921955,9.12963497833773,8.93606372320121,15.285594828418,17.812705294325,23.5520524075488,36.9709186992523,52.381006892038,65.266452081386,88.5386112051433,70.307163678238,83.7994966112004,111.789686464441,128.052853643106,136.709862831194,145.712200312505,116.193649124151,101.123851090455,122.12382233359,101.353230784594,89.4171903412533,58.3759762929678
"ALB","Albania","AL","008","Albania","Europe","https://public.flourish.studio/country-flags/svg/al.svg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.85733801185488,1.89705013342015,2.09732625,2.08079625,2.05123625,2.25309,2.02855375,1.09955902777778,0.652174990837304,1.18531546846295,1.8809515203972,2.39276485342107,3.19964133593751,2.2585139740968,2.54596454088383,3.21212165097755,3.48035525804122,3.9221007935403,4.34806824219512,5.61149625714231,7.18468578151876,8.05207353938058,8.8960729189814,10.6773241444289,12.8813535078539,12.044208085864,11.9269228289911,12.8907645313284,12.3198304373467,12.7762205070162,13.2281475161168,11.3868501298411,11.8611998308396,13.0196893366919,15.1564323098977,15.4002428748812,14.8876292682927
"AND","Andorra","AD","020","Andorra","Europe","https://public.flourish.studio/country-flags/svg/ad.svg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0786192060850963,0.0894098203592814,0.113408231944085,0.150820102798401,0.186558696279204,0.220127246376812,0.227281024620741,0.254020153340635,0.308008897569444,0.411578334159643,0.446416105825017,0.388958731302938,0.375895956383462,0.327861832946636,0.330070689298282,0.346737964774951,0.48200059403588,0.611316399407088,0.72142593915155,0.795449332396346,1.02904848188051,1.10692858286629,1.21001365187713,1.00702575500065,1.01754912433238,1.17873899119295,1.22394535662682,1.18059727272727,1.21193239781713,1.23987630513531,1.42904919845218,1.54692617449664,1.75591003199699,2.36172686230248,2.89492177799851,3.15990548439249,3.456442102622,3.95260060224473,4.08563058444412,3.67440955821061,3.44996685668832,3.62920378619154,3.18880894256713,3.19370434320627,3.27180815730038,2.78987018750693,2.89667921186628,3.00018075011297,3.21831601322626,3.15506548751819,NA
"ARE","United Arab Emirates (the)","AE","784","UAE","Asia","https://public.flourish.studio/country-flags/svg/ae.svg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.7206725065004,19.2130226910526,24.8717751646043,23.7758317834263,31.2254632177582,43.5987484490479,49.3334241351131,46.6227186052847,42.8033233451376,41.807954235903,40.6036502315445,33.9436120947971,36.3849087442114,36.2756742032144,41.4649959139199,50.7014437482975,51.5521656224462,54.239171887769,55.625170253337,59.305093979842,65.7436665758649,73.5712339961863,78.8390084445655,75.6743362831858,84.4454731109598,104.337372362151,103.311640571818,109.816201497617,124.346358066712,147.824370319946,180.617467964602,222.116541865214,257.916133424098,315.474615738598,253.547358747447,289.787338325391,350.666031313819,374.590605854323,390.107556160654,403.137100068074,358.135057862492,357.045064669843,385.605506848196,422.215043594282,417.215559513364,358.868765174924
"ARG","Argentina","AR","032","Argentina","Americas","https://public.flourish.studio/country-flags/svg/ar.svg",NA,NA,24.4506048776081,18.2721236644715,25.6052493817597,28.3447059666389,28.6304747279023,24.2566675532569,26.4368572474982,31.2562845436155,31.5842103655447,33.2931990954881,34.7330005362862,52.5440001169037,72.4367773424554,52.4386479219226,51.1694998907722,56.7810001009448,58.0828701562634,69.2523289533789,76.9619237419479,78.6768423664213,84.307486836724,103.979106777911,79.092001998032,88.4166689002596,110.934442762694,111.106191358197,126.206817196091,76.6368980364712,141.352368714691,189.719984268485,228.788617201696,236.741715015015,257.44,258.03175,272.14975,292.859,298.94825,283.523,284.20375,268.69675,97.7240042518602,127.586973492177,164.657930452787,198.737095012282,232.557260817308,287.530508430568,361.558037110419,332.976484577619,423.62742209249,530.163281574658,545.982375701128,552.025140252246,526.319673731638,594.749285413212,557.531376217967,643.628665302155,524.819742918669,451.932356085842,389.288056265325
"ARM","Armenia","AM","051","Armenia","Asia","https://public.flourish.studio/country-flags/svg/am.svg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.25683885760997,2.06987012987013,1.27283545342634,1.20131282927524,1.31515863667553,1.46831743520148,1.59696894623708,1.63949244476152,1.89372643726462,1.84548217302732,1.91156366885006,2.11846791337873,2.37633504839976,2.80706100869084,3.57661524041616,4.90046995009033,6.3844516061421,9.20630170039619,11.6620407138753,8.64793674798704,9.26028493779781,10.1421113344961,10.6193200485857,11.1214657674067,11.6095129397542,10.5533376729872,10.546135160031,11.5274585657334,12.4579419070333,13.6192913612814,12.641209802112
"ASM","American Samoa","AS","016","American Samoa","Oceania","https://public.flourish.studio/country-flags/svg/as.svg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.512,0.524,0.509,0.5,0.493,0.518,0.56,0.675,0.573,0.57,0.64,0.638,0.643,0.673,0.671,0.612,0.639,0.648,0.709
"ATG","Antigua and Barbuda","AG","028","Antigua and Barbuda","Americas","https://public.flourish.studio/country-flags/svg/ag.svg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0774967537037037,0.0878793414814815,0.109079978888889,0.131431026666667,0.147841734444444,0.164369278888889,0.182144092962963,0.208372846296296,0.240923924814815,0.290440140740741,0.337174861851852,0.398637727777778,0.438794788518519,0.45947037037037,0.481707407407407,0.499281481481481,0.535174074074074,0.58942962962963,0.577281481481481,0.63372962962963,0.680618518518518,0.727859259259259,0.7662,0.82637037037037,0.800481481481481,0.814381481481481,0.856396296296296,0.91972962962963,1.02296296296296,1.15766296296296,1.31275925925926,1.37007037037037,1.22832962962963,1.1487,1.13763703703704,1.19994814814815,1.18144814814815,1.24973333333333,1.33669259259259,1.43658518518519,1.46797777777778,1.60594444444444,1.68753333333333,1.37028148148148
